time Optional[local:sl-0] Optional[local:sl-1] Optional[local:sl-2] Optional[local:sl-3] Optional[local:sl-4] Optional[local:sl-5] Optional[local:sl-6] Optional[local:sl-7] Optional[local:sl-8] Optional[local:sl-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.003 700.0 500.0 700.0 600.0 600.0 450.0 600.0 450.0 500.0 650.0 
2.014 1650.0 1550.0 1600.0 1700.0 1650.0 1800.0 1650.0 1750.0 1700.0 1700.0 
3.016 2650.0 2700.0 2700.0 2750.0 2700.0 2600.0 2650.0 2600.0 2600.0 2650.0 
4.017 3700.0 3800.0 3800.0 3700.0 3700.0 3700.0 3800.0 3800.0 3700.0 3700.0 
5.018 4600.0 4750.0 4650.0 4700.0 4750.0 4850.0 4800.0 4700.0 4600.0 4700.0 
6.018 5700.0 5750.0 5750.0 5750.0 5750.0 5700.0 5600.0 5800.0 5700.0 5750.0 
7.02 6600.0 6700.0 6700.0 6800.0 6750.0 6550.0 6850.0 6700.0 6800.0 6750.0 
8.022 7700.0 7650.0 7750.0 7700.0 7700.0 7800.0 7650.0 7700.0 7600.0 7700.0 
9.023 8700.0 8700.0 8700.0 8750.0 8800.0 8800.0 8800.0 8800.0 8750.0 8650.0 
10.024 9650.0 9700.0 9850.0 9700.0 9750.0 9700.0 9600.0 9700.0 9800.0 9800.0 
11.027 10750.0 10750.0 10650.0 10650.0 10800.0 10800.0 10800.0 10650.0 10600.0 10750.0 
12.039 11550.0 11650.0 11500.0 11750.0 11700.0 11800.0 11750.0 11750.0 11650.0 11750.0 
13.04 12400.0 12700.0 12650.0 12700.0 12650.0 12600.0 12650.0 12600.0 12650.0 12700.0 
14.041 13650.0 13600.0 13700.0 13700.0 13650.0 13600.0 13500.0 13600.0 13650.0 13800.0 
15.042 14600.0 14700.0 14700.0 14650.0 14700.0 14600.0 14800.0 14600.0 14800.0 14750.0 
16.043 15750.0 15800.0 15850.0 15850.0 15750.0 15650.0 15650.0 15750.0 15650.0 15750.0 
17.044 16750.0 16750.0 16800.0 16750.0 16850.0 16650.0 16750.0 16600.0 16800.0 16800.0 
18.044 17750.0 17850.0 17900.0 17750.0 17700.0 17750.0 17750.0 17750.0 17650.0 17700.0 
19.045 18850.0 18800.0 18850.0 18700.0 18650.0 18800.0 18600.0 18650.0 18800.0 18700.0 
20.045 19650.0 19600.0 19700.0 19700.0 19750.0 19650.0 19750.0 19750.0 19700.0 19700.0 
21.046 20800.0 20850.0 20850.0 20800.0 20650.0 20550.0 20600.0 20600.0 20650.0 20650.0 
22.046 21650.0 21750.0 21800.0 21650.0 21750.0 21650.0 21750.0 21750.0 21750.0 21700.0 
23.046 22750.0 22750.0 22650.0 22750.0 22700.0 22800.0 22700.0 22700.0 22750.0 22700.0 
24.047 23700.0 23750.0 23850.0 23700.0 23650.0 23650.0 23750.0 23700.0 23650.0 23650.0 
25.048 24500.0 24700.0 24800.0 24650.0 24650.0 24750.0 24700.0 24800.0 24800.0 24800.0 
26.048 25750.0 25700.0 25800.0 25700.0 25700.0 25650.0 25650.0 25750.0 25750.0 25700.0 
27.049 26800.0 26700.0 26750.0 26750.0 26850.0 26800.0 26800.0 26700.0 26650.0 26800.0 
28.049 27600.0 27850.0 27750.0 27850.0 27650.0 27700.0 27700.0 27650.0 27700.0 27750.0 
29.049 28800.0 28800.0 28750.0 28700.0 28650.0 28750.0 28850.0 28650.0 28800.0 28700.0 
30.05 29700.0 29750.0 29750.0 29750.0 29750.0 29800.0 29650.0 29700.0 29750.0 29700.0 
31.051 30750.0 30800.0 30850.0 30750.0 30750.0 30750.0 30700.0 30450.0 30650.0 30600.0 
32.052 31700.0 31800.0 31650.0 31700.0 31700.0 31650.0 31750.0 31700.0 31700.0 31800.0 
33.052 32800.0 32700.0 32800.0 32650.0 32700.0 32800.0 32650.0 32600.0 32700.0 32650.0 
34.052 33750.0 33750.0 33650.0 33650.0 33650.0 33650.0 33600.0 33600.0 33650.0 33700.0 
35.053 34600.0 34550.0 34700.0 34650.0 34600.0 34650.0 34650.0 34800.0 34800.0 34700.0 
36.053 35600.0 35650.0 35650.0 35800.0 35600.0 35650.0 35600.0 35700.0 35650.0 35550.0 
37.053 36650.0 36700.0 36750.0 36700.0 36650.0 36750.0 36650.0 36650.0 36650.0 36650.0 
38.054 37650.0 37650.0 37650.0 37700.0 37750.0 37650.0 37700.0 37600.0 37600.0 37600.0 
39.054 38750.0 38650.0 38700.0 38700.0 38650.0 38700.0 38800.0 38600.0 38700.0 38500.0 
40.055 39450.0 39650.0 39650.0 39600.0 39650.0 39700.0 39650.0 39700.0 39650.0 39600.0 
41.057 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 
42.057 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 
43.057 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 40000.0 
