time Optional[local:sl-0] Optional[local:sl-1] Optional[local:sl-2] Optional[local:sl-3] Optional[local:sl-4] Optional[local:sl-5] Optional[local:sl-6] Optional[local:sl-7] Optional[local:sl-8] Optional[local:sl-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.006 0.325 0.475 0.425 0.425 0.425 0.375 0.425 0.35 0.375 0.4 
2.007 0.825 0.825 0.9 0.85 0.875 0.825 0.875 0.9 0.925 0.85 
3.013 1.425 1.425 1.375 1.375 1.375 1.4 1.4 1.375 1.425 1.3 
4.016 1.9 1.85 1.85 1.9 1.85 1.875 1.875 1.85 1.8 1.825 
5.016 2.375 2.35 2.325 2.375 2.35 2.375 2.4 2.425 2.35 2.4 
6.017 2.925 2.9 2.9 2.9 2.875 2.9 2.9 2.85 2.825 2.875 
7.018 3.375 3.375 3.325 3.4 3.3 3.35 3.325 3.375 3.375 3.375 
8.018 3.925 3.925 3.9 3.9 3.875 3.9 3.875 3.85 3.825 3.85 
9.019 4.45 4.375 4.375 4.4 4.4 4.375 4.375 4.3 4.35 4.375 
10.021 4.925 4.85 4.875 4.9 4.875 4.875 4.85 4.9 4.95 4.825 
11.022 5.425 5.425 5.425 5.4 5.35 5.425 5.375 5.4 5.4 5.325 
12.022 5.9 5.875 5.875 5.925 5.875 5.875 5.9 5.875 5.85 5.875 
13.022 6.4 6.375 6.4 6.375 6.4 6.35 6.425 6.375 6.325 6.375 
14.022 6.9 6.925 6.925 6.85 6.8 6.9 6.825 6.825 6.85 6.875 
15.025 7.35 7.35 7.35 7.425 7.4 7.45 7.4 7.45 7.4 7.4 
16.026 7.925 7.925 7.875 7.925 7.95 7.975 7.875 7.925 7.875 7.9 
17.028 8.375 8.375 8.35 8.375 8.45 8.425 8.375 8.425 8.375 8.375 
18.028 8.875 8.85 8.875 8.9 8.825 8.775 8.825 8.825 8.85 8.825 
19.029 9.425 9.4 9.4 9.4 9.425 9.45 9.4 9.325 9.4 9.375 
20.03 9.9 9.875 9.825 9.9 9.9 9.85 9.85 9.875 9.9 9.875 
21.03 10.375 10.425 10.35 10.375 10.4 10.375 10.4 10.375 10.375 10.325 
22.032 10.9 10.85 10.875 10.85 10.85 10.85 10.95 10.85 10.925 10.9 
23.032 11.35 11.4 11.375 11.35 11.375 11.375 11.45 11.4 11.4 11.4 
24.033 11.9 11.875 11.925 11.875 11.875 11.825 11.9 11.85 11.8 11.85 
25.033 12.375 12.35 12.375 12.4 12.375 12.375 12.4 12.375 12.35 12.4 
26.034 12.85 12.925 12.925 12.9 12.85 12.875 12.9 12.925 12.875 12.85 
27.034 13.325 13.45 13.4 13.35 13.35 13.375 13.375 13.4 13.375 13.375 
28.035 13.875 13.85 13.825 13.9 13.875 13.85 13.925 13.85 13.9 13.875 
29.035 14.375 14.375 14.375 14.325 14.35 14.35 14.325 14.375 14.325 14.325 
30.037 14.8 14.875 14.85 14.85 14.85 14.875 14.875 14.9 14.925 14.875 
31.038 15.425 15.375 15.35 15.35 15.375 15.35 15.4 15.35 15.35 15.325 
32.038 15.9 15.875 15.8 15.9 15.825 15.875 15.85 15.875 15.85 15.875 
33.039 16.45 16.35 16.375 16.425 16.375 16.35 16.375 16.35 16.35 16.375 
34.041 16.9 16.875 16.875 16.875 16.825 16.875 16.875 16.875 16.85 16.875 
35.041 17.35 17.4 17.375 17.35 17.325 17.325 17.375 17.425 17.4 17.35 
36.041 17.9 17.875 17.85 17.9 17.9 17.85 17.85 17.85 17.85 17.875 
37.042 18.35 18.4 18.4 18.375 18.325 18.35 18.35 18.325 18.35 18.35 
38.044 18.875 18.875 18.9 18.925 18.85 18.9 18.85 18.85 18.875 18.85 
39.045 19.35 19.375 19.4 19.4 19.35 19.35 19.375 19.325 19.425 19.375 
40.046 19.85 19.85 19.9 19.95 19.875 19.875 19.85 19.85 19.9 19.825 
41.046 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 
42.047 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 
43.047 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 
