time Optional[local:s-0] 
0.0 0.0 
1.006 995.0 
2.007 999.0 
3.009 998.0 
4.01 999.0 
5.011 999.0 
6.011 1000.0 
7.012 999.0 
8.013 999.0 
9.013 1000.0 
10.014 999.0 
11.015 999.0 
12.016 999.0 
13.017 999.0 
14.018 999.0 
15.019 999.0 
16.021 998.0 
17.022 999.0 
18.022 1000.0 
19.023 999.0 
20.023 1000.0 
21.024 999.0 
22.024 1000.0 
23.025 999.0 
24.025 1000.0 
25.025 1000.0 
26.026 999.0 
27.027 999.0 
28.028 999.0 
29.029 999.0 
30.03 999.0 
31.03 1000.0 
32.031 999.0 
33.031 1000.0 
34.032 999.0 
35.032 1000.0 
36.032 1000.0 
37.033 999.0 
38.034 999.0 
39.034 1000.0 
40.035 999.0 
41.035 0.0 
42.036 0.0 
43.037 0.0 
