time Optional[local:sl-0] Optional[local:sl-1] Optional[local:sl-2] Optional[local:sl-3] Optional[local:sl-4] Optional[local:sl-5] Optional[local:sl-6] Optional[local:sl-7] Optional[local:sl-8] Optional[local:sl-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.003 600.0 750.0 750.0 700.0 650.0 750.0 750.0 750.0 750.0 550.0 
2.007 1500.0 1650.0 1500.0 1600.0 1550.0 1500.0 1450.0 1500.0 1500.0 1550.0 
3.01 2500.0 2650.0 2500.0 2700.0 2500.0 2500.0 1850.0 2500.0 2500.0 2550.0 
4.012 3500.0 3450.0 3100.0 3700.0 3550.0 3200.0 2700.0 3500.0 3250.0 3200.0 
5.013 4300.0 4000.0 4100.0 4550.0 4550.0 4200.0 3650.0 4400.0 4500.0 4200.0 
6.013 5500.0 5100.0 4800.0 5300.0 5550.0 5150.0 4700.0 5150.0 5250.0 5200.0 
7.014 6500.0 6200.0 5900.0 6050.0 6150.0 6150.0 5250.0 5850.0 6050.0 6050.0 
8.015 7200.0 7250.0 6700.0 6950.0 7250.0 6950.0 6400.0 6850.0 7050.0 7050.0 
9.016 8400.0 8250.0 7900.0 7800.0 7950.0 7750.0 7000.0 7500.0 7800.0 8200.0 
10.017 9450.0 9250.0 8650.0 8700.0 8750.0 8600.0 8250.0 8100.0 8700.0 9200.0 
11.018 10300.0 10250.0 9700.0 9650.0 9500.0 9600.0 9200.0 9150.0 9550.0 10000.0 
12.018 11200.0 11100.0 10550.0 10700.0 10500.0 10550.0 10150.0 9950.0 10500.0 10450.0 
13.018 12150.0 11950.0 11550.0 11700.0 11500.0 11450.0 10950.0 10850.0 11250.0 11250.0 
14.019 13400.0 12950.0 12000.0 12600.0 12250.0 12100.0 12200.0 11700.0 12050.0 12150.0 
15.022 14400.0 14050.0 13200.0 13550.0 13000.0 12850.0 13100.0 12650.0 13000.0 13150.0 
16.024 15400.0 15050.0 13950.0 14450.0 13650.0 14100.0 14100.0 13650.0 13800.0 14150.0 
17.024 16350.0 16050.0 14850.0 15100.0 14300.0 15100.0 14850.0 14650.0 14800.0 14750.0 
18.025 17400.0 16500.0 15250.0 15650.0 15550.0 15700.0 15750.0 15650.0 15800.0 15650.0 
19.025 18250.0 17750.0 16300.0 16700.0 16450.0 16950.0 16600.0 16550.0 16800.0 16650.0 
20.026 19000.0 18500.0 17150.0 17050.0 17450.0 17950.0 17550.0 17550.0 17800.0 17500.0 
21.026 19650.0 19600.0 18400.0 18200.0 18300.0 18750.0 18250.0 18100.0 18800.0 18500.0 
22.028 20650.0 20650.0 19100.0 19100.0 18900.0 19450.0 19250.0 19300.0 19800.0 19400.0 
23.028 21500.0 21650.0 20000.0 20200.0 19650.0 20350.0 20250.0 20100.0 20650.0 20400.0 
24.029 22250.0 22550.0 20750.0 20800.0 20300.0 21550.0 21250.0 20750.0 21750.0 21400.0 
25.029 23250.0 23650.0 21800.0 21550.0 21400.0 22150.0 22250.0 21700.0 22400.0 22400.0 
26.03 24250.0 24650.0 22450.0 22550.0 22100.0 23150.0 23100.0 22550.0 23550.0 23400.0 
27.03 25200.0 25650.0 23450.0 23500.0 22950.0 23450.0 24050.0 23550.0 24500.0 24250.0 
28.031 25750.0 26600.0 24200.0 24150.0 23950.0 24700.0 25050.0 24300.0 25550.0 25200.0 
29.031 26500.0 27600.0 24700.0 25300.0 24650.0 25700.0 26050.0 24900.0 26500.0 26100.0 
30.033 27350.0 28500.0 25800.0 25600.0 25700.0 26700.0 27000.0 26100.0 27500.0 27100.0 
31.034 27650.0 29650.0 26700.0 26700.0 26350.0 27700.0 27850.0 27050.0 28500.0 28150.0 
32.034 28900.0 30650.0 27350.0 27450.0 27300.0 28450.0 29000.0 27700.0 29250.0 29200.0 
33.036 29900.0 31650.0 28250.0 28400.0 28150.0 29600.0 30000.0 28450.0 29950.0 30200.0 
34.037 30900.0 32650.0 29250.0 29000.0 28750.0 30600.0 31000.0 29450.0 30700.0 31100.0 
35.037 31900.0 33650.0 30100.0 29600.0 29450.0 31550.0 31750.0 30450.0 31700.0 32200.0 
36.037 32900.0 34650.0 31050.0 30750.0 29950.0 32250.0 32700.0 31450.0 32500.0 33200.0 
37.039 33900.0 35650.0 32050.0 31850.0 30950.0 32900.0 33750.0 31900.0 33050.0 34150.0 
38.04 34900.0 36650.0 32950.0 32750.0 31950.0 34150.0 34600.0 32850.0 33850.0 34850.0 
39.041 35900.0 37650.0 34050.0 33600.0 32750.0 34700.0 35600.0 33550.0 34850.0 35800.0 
40.042 36800.0 38550.0 34950.0 34350.0 33800.0 35550.0 36450.0 34500.0 35850.0 36650.0 
41.042 36800.0 38700.0 35550.0 34550.0 34000.0 35900.0 36650.0 34850.0 36300.0 36700.0 
42.043 36800.0 38700.0 35550.0 34550.0 34000.0 35900.0 36650.0 34850.0 36300.0 36700.0 
43.043 36800.0 38700.0 35550.0 34550.0 34000.0 35900.0 36650.0 34850.0 36300.0 36700.0 
