time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.011 0.25 0.375 0.35 0.35 0.35 0.375 0.325 0.3 0.3 0.3 
2.013 0.775 0.825 0.85 0.875 0.825 0.85 0.725 0.85 0.8 0.8 
3.018 1.325 1.35 1.35 1.375 1.35 1.3 1.325 1.325 1.375 1.35 
4.031 1.875 1.8 1.875 1.8 1.85 1.825 1.8 1.85 1.825 1.8 
5.032 2.3 2.325 2.275 2.3 2.35 2.35 2.35 2.325 2.3 2.35 
6.032 2.875 2.825 2.875 2.85 2.9 2.825 2.85 2.875 2.8 2.775 
7.033 3.375 3.325 3.275 3.325 3.3 3.275 3.275 3.325 3.35 3.325 
8.034 3.85 3.775 3.825 3.9 3.85 3.875 3.8 3.825 3.725 3.8 
9.035 4.325 4.325 4.325 4.3 4.325 4.325 4.35 4.3 4.35 4.3 
10.037 4.825 4.825 4.825 4.725 4.85 4.825 4.775 4.85 4.9 4.825 
11.037 5.35 5.275 5.325 5.275 5.325 5.325 5.325 5.35 5.325 5.325 
12.037 5.825 5.85 5.85 5.85 5.8 5.8 5.85 5.8 5.8 5.8 
13.039 6.275 6.275 6.35 6.375 6.25 6.325 6.325 6.325 6.3 6.275 
14.04 6.9 6.825 6.85 6.825 6.825 6.8 6.8 6.775 6.8 6.775 
15.041 7.325 7.3 7.25 7.3 7.275 7.325 7.325 7.275 7.275 7.275 
16.043 7.85 7.7 7.8 7.85 7.775 7.8 7.75 7.85 7.75 7.775 
17.044 8.25 8.275 8.35 8.3 8.3 8.225 8.25 8.275 8.225 8.325 
18.044 8.85 8.85 8.825 8.825 8.8 8.775 8.775 8.8 8.775 8.85 
19.045 9.375 9.3 9.4 9.325 9.375 9.325 9.3 9.275 9.275 9.325 
20.045 9.775 9.9 9.85 9.825 9.825 9.8 9.825 9.8 9.85 9.825 
21.046 10.275 10.3 10.35 10.275 10.3 10.35 10.325 10.35 10.3 10.325 
22.046 10.875 10.825 10.9 10.85 10.8 10.875 10.825 10.8 10.85 10.8 
23.046 11.3 11.275 11.3 11.35 11.325 11.35 11.375 11.325 11.325 11.325 
24.047 11.875 11.8 11.85 11.825 11.85 11.8 11.825 11.85 11.85 11.825 
25.048 12.3 12.35 12.3 12.325 12.325 12.275 12.375 12.275 12.3 12.325 
26.049 12.85 12.8 12.875 12.825 12.85 12.85 12.775 12.85 12.85 12.825 
27.049 13.325 13.35 13.3 13.3 13.325 13.35 13.325 13.35 13.35 13.325 
28.05 13.825 13.8 13.75 13.85 13.8 13.825 13.8 13.8 13.85 13.8 
29.05 14.375 14.25 14.325 14.35 14.275 14.35 14.3 14.3 14.3 14.325 
30.052 14.775 14.725 14.675 14.775 14.75 14.775 14.775 14.775 14.85 14.875 
31.052 15.325 15.325 15.25 15.3 15.2 15.3 15.275 15.25 15.275 15.325 
32.052 15.825 15.725 15.875 15.775 15.825 15.775 15.75 15.775 15.75 15.775 
33.052 16.225 16.225 16.225 16.225 16.25 16.25 16.25 16.225 16.275 16.2 
34.053 16.75 16.675 16.725 16.725 16.725 16.725 16.65 16.7 16.75 16.7 
35.054 17.2 17.3 17.2 17.2 17.2 17.25 17.225 17.25 17.3 17.275 
36.054 17.75 17.775 17.775 17.75 17.75 17.75 17.775 17.775 17.75 17.75 
37.055 18.325 18.25 18.25 18.225 18.3 18.25 18.275 18.25 18.275 18.325 
38.057 18.775 18.75 18.8 18.75 18.775 18.775 18.75 18.775 18.8 18.8 
39.058 19.325 19.3 19.3 19.3 19.275 19.25 19.3 19.25 19.225 19.25 
40.059 19.75 19.775 19.725 19.75 19.75 19.725 19.75 19.775 19.75 19.75 
41.059 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 
42.06 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 
43.06 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 20.0 
