Time Mean Min Max StDev ConfidenceInterval
0 0.0 0.0 0.0 0.0 0.0
1 370.0 150.0 750.0 211.08186931983417 130.8298980440718
2 1445.0 1100.0 1650.0 190.68589646618102 118.18834309882021
3 2430.0 2150.0 2700.0 225.09257354845508 139.51382249320912
4 3350.0 3000.0 3700.0 230.9401076758503 143.1381616946834
5 4280.0 3850.0 4600.0 207.0963275601209 128.35963366867153
6 5205.0 4550.0 5600.0 305.0045537000682 189.04378093740908
7 6095.0 5250.0 6400.0 335.3687854023123 207.86372672712494
8 6955.0 5650.0 7600.0 527.8099405404689 327.13999042204136
9 7820.0 6600.0 8600.0 525.0396810400779 325.42296579477403
10 8725.0 7850.0 9600.0 496.2358310319802 307.5701545989142
11 9645.0 8800.0 10550.0 446.24980547770423 276.58849498045925
12 10500.0 9600.0 11300.0 465.47466812563135 288.504188300043
13 11435.0 10600.0 12300.0 532.8383119358692 330.25660730205936
14 12365.0 11600.0 13300.0 586.9175599879613 363.77527250885106
15 13225.0 12350.0 14300.0 618.3535486363049 383.259500135932
16 14130.0 13350.0 15300.0 647.731082746193 401.4678844219325
17 15010.0 14100.0 16150.0 692.7401308491438 429.36478145692803
18 15890.0 14800.0 17300.0 794.35508432942 492.3463821335544
19 16775.0 15600.0 18300.0 818.6201126828541 507.3860025222961
20 17725.0 16400.0 19300.0 857.0783705900724 531.2226777287782
21 18580.0 17200.0 20300.0 965.861733836106 598.6473048093974
22 19545.0 18150.0 21300.0 975.9468337067457 604.8981144696096
23 20425.0 18950.0 22300.0 1006.7135750660275 623.9675383294301
24 21325.0 19750.0 23300.0 1072.4452847995972 664.7084741114376
25 22230.0 20400.0 24250.0 1155.7104597028906 716.3167641949102
26 23110.0 21150.0 24900.0 1195.0825169092811 740.7198180748837
27 24050.0 22150.0 26000.0 1258.7471725666137 780.1795804670728
28 24870.0 22800.0 27100.0 1314.280538292085 814.599517145286
29 25775.0 23650.0 28050.0 1316.8248850085488 816.1765195784003
30 26660.0 24450.0 29000.0 1401.1503210655958 868.4419663333231
31 27505.0 25350.0 29650.0 1406.0286862886783 871.46560842449
32 28425.0 26250.0 30350.0 1337.3377367823814 828.8905168289047
33 29340.0 27250.0 31000.0 1291.166569854994 800.2733310841016
34 30265.0 28250.0 31600.0 1259.1994811519473 780.4599242327137
35 31135.0 29050.0 32600.0 1335.217418833186 827.5763301485985
36 32030.0 29650.0 33600.0 1432.2088612427387 887.692248974209
37 32930.0 30650.0 34500.0 1439.174145898342 892.0093771305819
38 33835.0 31650.0 35350.0 1413.0443887027911 875.8139858313396
39 34745.0 32650.0 36500.0 1425.8428306716619 883.7465423474713
40 35625.0 33450.0 37500.0 1527.2069640723587 946.5726831281602
41 36000.0 33550.0 37850.0 1566.3120165960975 970.8102457912839
42 36000.0 33550.0 37850.0 1566.3120165960975 970.8102457912839
43 36000.0 33550.0 37850.0 1566.3120165960975 970.8102457912839
