time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.002 500000.0 750000.0 550000.0 650000.0 650000.0 500000.0 550000.0 650000.0 650000.0 550000.0 
2.005 1400000.0 1400000.0 1450000.0 1400000.0 1400000.0 1500000.0 1400000.0 1400000.0 1350000.0 1450000.0 
3.011 2681920.0 2590960.0 2681920.0 2623728.0 2557344.0 2540960.0 2640112.0 2598304.0 2573728.0 2549152.0 
4.012 3450000.0 3450000.0 3390960.0 3390960.0 3290960.0 3290960.0 3340960.0 3399152.0 3349152.0 3340960.0 
5.015 4350000.0 4350000.0 4500000.0 4300000.0 4350000.0 4400000.0 4500000.0 4550000.0 4500000.0 4400000.0 
6.017 5532768.0 5550000.0 5500000.0 5400000.0 5400000.0 5400000.0 5350000.0 5366384.0 5450000.0 5300000.0 
7.018 6457344.0 6474576.0 6465536.0 6440112.0 6332768.0 6340960.0 6400000.0 6400000.0 6382768.0 6450000.0 
8.019 7424576.0 7399152.0 7399152.0 7399152.0 7340960.0 7358192.0 7350000.0 7323728.0 7399152.0 7399152.0 
9.019 8540960.0 8450000.0 8424576.0 8290960.0 8100000.0 8374576.0 8400000.0 8400000.0 8416384.0 8300000.0 
10.02 9382768.0 9400000.0 9315536.0 9448304.0 9332768.0 9366384.0 9450000.0 9390960.0 9490960.0 9466384.0 
11.021 1.065E7 1.04E7 1.055E7 1.0424576E7 1.0324576E7 1.035E7 1.05E7 1.0424576E7 1.04E7 1.0424576E7 
12.022 1.1366384E7 1.135E7 1.1424576E7 1.1358192E7 1.1515536E7 1.1416384E7 1.15E7 1.145E7 1.15E7 1.1466384E7 
13.023 1.245E7 1.24E7 1.24E7 1.215E7 1.2424576E7 1.21E7 1.2374576E7 1.2357344E7 1.2457344E7 1.2332768E7 
14.024 1.34E7 1.3424576E7 1.34E7 1.335E7 1.3424576E7 1.3374576E7 1.335E7 1.3432768E7 1.34E7 1.339096E7 
15.026 1.435E7 1.44E7 1.44E7 1.435E7 1.43E7 1.445E7 1.435E7 1.44E7 1.45E7 1.46E7 
16.026 1.555E7 1.555E7 1.5424576E7 1.535E7 1.545E7 1.5424576E7 1.545E7 1.53E7 1.535E7 1.545E7 
17.026 1.639096E7 1.644096E7 1.629096E7 1.6265536E7 1.634096E7 1.644096E7 1.6382768E7 1.64E7 1.634096E7 1.63E7 
18.027 1.7324576E7 1.7424576E7 1.7382768E7 1.7315536E7 1.735E7 1.735E7 1.7315536E7 1.73E7 1.728192E7 1.7398304E7 
19.028 1.8399152E7 1.8382768E7 1.8382768E7 1.8465536E7 1.8366384E7 1.8382768E7 1.8399152E7 1.84E7 1.8398304E7 1.8316384E7 
20.029 1.929096E7 1.9365536E7 1.9273728E7 1.935E7 1.933192E7 1.943192E7 1.9432768E7 1.9515536E7 1.949096E7 1.9457344E7 
21.029 2.0532768E7 2.0524576E7 2.0432768E7 2.0532768E7 2.0374576E7 2.0382768E7 2.0516384E7 2.03E7 2.03E7 2.035E7 
22.03 2.15E7 2.155E7 2.15E7 2.155E7 2.135E7 2.135E7 2.14E7 2.13E7 2.155E7 2.13E7 
23.031 2.235E7 2.235E7 2.25E7 2.255E7 2.245E7 2.2524576E7 2.255E7 2.2524576E7 2.2424576E7 2.2524576E7 
24.031 2.365E7 2.35E7 2.355E7 2.344096E7 2.34E7 2.35E7 2.35E7 2.355E7 2.335E7 2.3408192E7 
25.031 2.455E7 2.44E7 2.445E7 2.445E7 2.45E7 2.45E7 2.44E7 2.44E7 2.44E7 2.445E7 
26.032 2.54E7 2.548192E7 2.5549152E7 2.5424576E7 2.5449152E7 2.5423728E7 2.54E7 2.5382768E7 2.5432768E7 2.5499152E7 
27.033 2.6574576E7 2.6524576E7 2.6574576E7 2.6424576E7 2.64E7 2.6474576E7 2.645E7 2.6324576E7 2.6474576E7 2.6374576E7 
28.033 2.765E7 2.7416384E7 2.735E7 2.7449152E7 2.74E7 2.7432768E7 2.75E7 2.7565536E7 2.7432768E7 2.755E7 
29.034 2.8574576E7 2.8449152E7 2.86E7 2.845E7 2.85E7 2.8424576E7 2.85E7 2.84E7 2.835E7 2.83E7 
30.035 2.9374576E7 2.9224576E7 2.945E7 2.95E7 2.94E7 2.955E7 2.95E7 2.955E7 2.95E7 2.95E7 
31.035 3.043192E7 3.043192E7 3.04E7 3.0399152E7 3.043192E7 3.04E7 3.0449152E7 3.0449152E7 3.0449152E7 3.04E7 
32.035 3.134096E7 3.149096E7 3.145E7 3.1390112E7 3.1448304E7 3.1349152E7 3.149096E7 3.1490112E7 3.14E7 3.139096E7 
33.035 3.245E7 3.245E7 3.24E7 3.24E7 3.25E7 3.24E7 3.245E7 3.23E7 3.25E7 3.235E7 
34.036 3.355E7 3.3423728E7 3.345E7 3.3282768E7 3.35E7 3.339096E7 3.34E7 3.335E7 3.3349152E7 3.345E7 
35.037 3.45E7 3.425E7 3.44E7 3.4357344E7 3.44E7 3.4457344E7 3.44E7 3.4408192E7 3.4324576E7 3.445E7 
36.038 3.55E7 3.5490112E7 3.5365536E7 3.5356496E7 3.5374576E7 3.5415536E7 3.5440112E7 3.5282768E7 3.5315536E7 3.535E7 
37.039 3.65E7 3.64E7 3.649096E7 3.6424576E7 3.645E7 3.6299152E7 3.648192E7 3.645E7 3.64E7 3.635E7 
38.039 3.745E7 3.735E7 3.73E7 3.7324576E7 3.745E7 3.7324576E7 3.745E7 3.745E7 3.74E7 3.735E7 
39.04 3.83E7 3.8399152E7 3.8349152E7 3.8349152E7 3.835E7 3.8399152E7 3.8399152E7 3.835E7 3.8299152E7 3.8249152E7 
40.04 3.9182768E7 3.9332768E7 3.9382768E7 3.94E7 3.955E7 3.945E7 3.955E7 3.935E7 3.945E7 3.94E7 
41.04 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 
42.041 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 
43.041 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 4.0E7 
