time Optional[local:s-0] 
0.0 0.0 
1.003 1000.0 
2.005 2000.0 
3.006 3000.0 
4.006 4000.0 
5.007 5000.0 
6.008 6000.0 
7.009 7000.0 
8.01 8000.0 
9.01 9000.0 
10.011 10000.0 
11.012 11000.0 
12.013 12000.0 
13.014 13000.0 
14.014 14000.0 
15.014 15000.0 
16.015 16000.0 
17.016 17000.0 
18.016 18000.0 
19.016 19000.0 
20.016 20000.0 
21.017 21000.0 
22.018 22000.0 
23.019 23000.0 
24.02 24000.0 
25.021 25000.0 
26.021 26000.0 
27.022 27000.0 
28.023 28000.0 
29.023 29000.0 
30.023 30000.0 
31.024 31000.0 
32.025 32000.0 
33.025 33000.0 
34.027 34000.0 
35.028 35000.0 
36.029 36000.0 
37.03 37000.0 
38.03 38000.0 
39.031 39000.0 
40.032 40000.0 
41.032 40000.0 
42.033 40000.0 
43.034 40000.0 
