time Optional[local:l-0] Optional[local:l-1] Optional[local:l-2] Optional[local:l-3] Optional[local:l-4] Optional[local:l-5] Optional[local:l-6] Optional[local:l-7] Optional[local:l-8] Optional[local:l-9] 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1.016 800.0 500.0 750.0 500.0 600.0 500.0 650.0 650.0 400.0 700.0 
2.018 1800.0 1500.0 1750.0 1250.0 1550.0 1400.0 1400.0 1450.0 900.0 1150.0 
3.019 2800.0 2350.0 2500.0 1950.0 2550.0 2200.0 2400.0 2150.0 1800.0 1850.0 
4.02 3700.0 3300.0 3500.0 2950.0 3550.0 3400.0 3300.0 2900.0 2800.0 2850.0 
5.021 4300.0 4300.0 4150.0 3550.0 4550.0 4400.0 4150.0 3800.0 3800.0 3600.0 
6.022 5300.0 5300.0 5150.0 4400.0 5350.0 5000.0 5050.0 4800.0 4550.0 4350.0 
7.024 6250.0 6150.0 6150.0 5350.0 6350.0 6000.0 5950.0 5700.0 5300.0 5000.0 
8.025 7000.0 7150.0 7150.0 6400.0 7350.0 7000.0 6750.0 6550.0 6300.0 6000.0 
9.026 7750.0 7900.0 8100.0 7400.0 8250.0 8000.0 7750.0 7250.0 7150.0 7000.0 
10.027 8750.0 8900.0 8600.0 8100.0 9250.0 9000.0 8600.0 8250.0 7900.0 8000.0 
11.027 9700.0 9900.0 9550.0 8800.0 10050.0 10000.0 9150.0 9200.0 8750.0 9000.0 
12.028 10750.0 10800.0 10450.0 9700.0 10900.0 11000.0 10400.0 10050.0 9900.0 10000.0 
13.03 11700.0 11700.0 11300.0 10350.0 11550.0 12000.0 11100.0 10950.0 10850.0 10900.0 
14.032 12700.0 12600.0 12150.0 11150.0 12700.0 13000.0 11850.0 11600.0 11900.0 11850.0 
15.033 13650.0 13600.0 12950.0 11950.0 13700.0 14000.0 12600.0 12600.0 12900.0 12800.0 
16.035 14700.0 14500.0 14000.0 12700.0 14500.0 15000.0 13600.0 13400.0 13900.0 13650.0 
17.036 15700.0 15000.0 15000.0 13300.0 15400.0 15950.0 14150.0 14250.0 14900.0 14600.0 
18.036 16700.0 15800.0 15800.0 14300.0 16200.0 17000.0 15000.0 15400.0 15900.0 15550.0 
19.037 17700.0 16750.0 16800.0 15100.0 17150.0 18000.0 15750.0 16050.0 16800.0 16350.0 
20.037 18700.0 17800.0 17650.0 16150.0 18200.0 19000.0 16600.0 17100.0 17650.0 17250.0 
21.038 19700.0 18750.0 18500.0 16950.0 19200.0 19900.0 17200.0 18000.0 18650.0 18100.0 
22.039 20700.0 19750.0 19350.0 17900.0 20200.0 20850.0 18150.0 18550.0 19650.0 19100.0 
23.039 21650.0 20750.0 20050.0 18750.0 20850.0 21950.0 19150.0 19350.0 20650.0 20000.0 
24.041 22500.0 21500.0 20800.0 19750.0 21850.0 22850.0 19650.0 20350.0 21400.0 20950.0 
25.042 23050.0 22500.0 21800.0 20350.0 22850.0 23650.0 20750.0 21350.0 22500.0 21700.0 
26.043 24250.0 23450.0 22500.0 21250.0 23850.0 24500.0 21750.0 22200.0 23500.0 22650.0 
27.045 25200.0 24450.0 23200.0 22150.0 24600.0 25550.0 22800.0 23200.0 24350.0 23650.0 
28.045 25900.0 25250.0 24200.0 22750.0 25600.0 26350.0 23650.0 24150.0 25350.0 24650.0 
29.047 26900.0 25950.0 25100.0 23600.0 26450.0 27350.0 24650.0 25200.0 26250.0 25650.0 
30.048 27450.0 26950.0 26100.0 24450.0 27250.0 27950.0 25400.0 26200.0 27100.0 26650.0 
31.049 28550.0 27900.0 26950.0 25450.0 28250.0 28800.0 25850.0 27050.0 28100.0 27650.0 
32.051 29550.0 28950.0 27500.0 26100.0 29200.0 29700.0 26850.0 27950.0 28950.0 28650.0 
33.051 30550.0 29950.0 28450.0 26900.0 30200.0 30400.0 27850.0 28950.0 29900.0 29650.0 
34.052 31200.0 30900.0 29450.0 27900.0 30900.0 31400.0 28700.0 29950.0 30750.0 30550.0 
35.052 32200.0 31650.0 30450.0 28850.0 31850.0 32200.0 29550.0 30800.0 31750.0 31650.0 
36.053 32950.0 32750.0 31450.0 29750.0 32750.0 33250.0 30250.0 31350.0 32650.0 32650.0 
37.054 33950.0 33750.0 32450.0 30550.0 33850.0 34250.0 31050.0 32050.0 33350.0 33600.0 
38.055 34550.0 34750.0 33450.0 31400.0 34850.0 35250.0 32050.0 33050.0 34000.0 34550.0 
39.056 35700.0 35600.0 34200.0 32150.0 35850.0 36150.0 33000.0 34050.0 34750.0 35300.0 
40.056 36300.0 36400.0 35200.0 33100.0 36800.0 37050.0 33650.0 35050.0 35750.0 35950.0 
41.057 36500.0 36750.0 35550.0 33400.0 37000.0 37600.0 34300.0 35500.0 36750.0 36550.0 
42.058 36500.0 36750.0 35550.0 33400.0 37000.0 37600.0 34300.0 35500.0 36850.0 36550.0 
43.059 36500.0 36750.0 35550.0 33400.0 37000.0 37600.0 34300.0 35500.0 36850.0 36550.0 
44.06 36500.0 36750.0 35550.0 33400.0 37000.0 37600.0 34300.0 35500.0 36850.0 36550.0 
